condition,category,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline
tennis_only_full600_test224,duration_minutes,29,0.3793103448275862,0.3793103448275862,0,0.0,0.03448275862068961,0.03448275862068961
tennis_only_full600_test224,immediate_before_after,39,0.23076923076923078,0.4410214429445199,0,0.0,0.12820512820512822,-0.0009450705152062588
tennis_only_full600_test224,other_temporal,3,0.6666666666666666,0.8888888888888888,0,0.0,0.6666666666666666,0.4444444444444444
tennis_only_full600_test224,overlap_while_during,23,0.7391304347826086,0.7391304347826086,0,0.0,0.08695652173913038,0.0444664031620553
tennis_only_full600_test224,tennis_injury_or_medical,1,0.0,0.0,0,0.0,0.0,0.0
tennis_only_full600_test224,tournament_round_sequence,4,0.75,0.8214285714285714,0,0.0,0.25,0.27976190476190466
tennis_only_full600_test224,which_first_last,47,0.46808510638297873,0.5218000675447484,0,0.0,0.2978723404255319,0.24650318392496112
tennis_only_full600_test224,yes_no_before_after,78,0.5128205128205128,0.5128205128205128,0,0.0,-0.07692307692307698,-0.07692307692307698
tennis_only_trace50_smoke_100,duration_minutes,15,0.3333333333333333,0.3777777777777778,0,0.0,-0.01149425287356326,0.03295019157088125
tennis_only_trace50_smoke_100,immediate_before_after,15,0.06666666666666667,0.24023199023199024,0,0.0,-0.035897435897435895,-0.2017345232277359
tennis_only_trace50_smoke_100,other_temporal,1,0.0,0.0,0,0.0,0.0,-0.4444444444444444
tennis_only_trace50_smoke_100,overlap_while_during,7,0.7142857142857143,0.7142857142857143,0,0.0,0.06211180124223603,0.019621682665160955
tennis_only_trace50_smoke_100,tournament_round_sequence,3,0.3333333333333333,0.5952380952380952,0,0.0,-0.16666666666666669,0.05357142857142849
tennis_only_trace50_smoke_100,which_first_last,15,0.06666666666666667,0.10757575757575759,0,0.0,-0.10354609929078014,-0.16772112604402967
tennis_only_trace50_smoke_100,yes_no_before_after,44,0.45454545454545453,0.45454545454545453,1,0.022727272727272728,-0.13519813519813523,-0.13519813519813523
